task_id,worker_cap,stage,observed_sec,estimated_sec,call_sum_sec,noncall_overhead_sec,attempt_count,max_same_depth_modules
devs_gen-qwen-oft-run_01,4,1,568.4,482.919,568.272,0.128,2,8
devs_gen-qwen-oft-run_01,4,2,238.3,112.303,238.136,0.164,2,8
devs_gen-qwen-oft-run_01,4,full_generation,831.68,620.202,,,2,8
devs_gen-qwen-oft-run_01,8,1,568.4,482.919,568.272,0.128,2,8
devs_gen-qwen-oft-run_01,8,2,238.3,112.303,238.136,0.164,2,8
devs_gen-qwen-oft-run_01,8,full_generation,831.68,620.202,,,2,8
devs_gen-qwen-IOBS-run_01,1,1,276.0,276.0,275.934,0.066,1,6
devs_gen-qwen-IOBS-run_01,1,2,146.5,146.5,146.432,0.068,1,6
devs_gen-qwen-IOBS-run_01,1,full_generation,441.1,441.1,,,1,6
devs_gen-qwen-IOBS-run_01,2,1,276.0,254.466,275.934,0.066,1,6
devs_gen-qwen-IOBS-run_01,2,2,146.5,85.04,146.432,0.068,1,6
devs_gen-qwen-IOBS-run_01,2,full_generation,441.1,358.106,,,1,6
devs_gen-qwen-IOBS-run_01,4,1,276.0,244.225,275.934,0.066,1,6
devs_gen-qwen-IOBS-run_01,4,2,146.5,59.833,146.432,0.068,1,6
devs_gen-qwen-IOBS-run_01,4,full_generation,441.1,322.658,,,1,6
devs_gen-qwen-IOBS-run_01,8,1,276.0,237.992,275.934,0.066,1,6
devs_gen-qwen-IOBS-run_01,8,2,146.5,44.722,146.432,0.068,1,6
devs_gen-qwen-IOBS-run_01,8,full_generation,441.1,301.314,,,1,6
devs_gen-qwen-HouseHeating-run_01,1,1,120.5,120.5,120.426,0.074,1,2
devs_gen-qwen-HouseHeating-run_01,1,2,41.9,41.9,41.851,0.049,1,2
devs_gen-qwen-HouseHeating-run_01,1,full_generation,180.54,180.54,,,1,2
devs_gen-qwen-HouseHeating-run_01,2,1,120.5,113.996,120.426,0.074,1,2
devs_gen-qwen-HouseHeating-run_01,2,2,41.9,26.241,41.851,0.049,1,2
devs_gen-qwen-HouseHeating-run_01,2,full_generation,180.54,158.377,,,1,2
devs_gen-qwen-HouseHeating-run_01,4,1,120.5,113.996,120.426,0.074,1,2
devs_gen-qwen-HouseHeating-run_01,4,2,41.9,26.241,41.851,0.049,1,2
devs_gen-qwen-HouseHeating-run_01,4,full_generation,180.54,158.377,,,1,2
devs_gen-qwen-HouseHeating-run_01,8,1,120.5,113.996,120.426,0.074,1,2
devs_gen-qwen-HouseHeating-run_01,8,2,41.9,26.241,41.851,0.049,1,2
devs_gen-qwen-HouseHeating-run_01,8,full_generation,180.54,158.377,,,1,2
devs_gen-qwen-SAA-run_01,1,1,248.3,248.3,248.307,-0.007,1,3
devs_gen-qwen-SAA-run_01,1,2,88.1,88.1,88.058,0.042,1,3
devs_gen-qwen-SAA-run_01,1,full_generation,358.86,358.86,,,1,3
devs_gen-qwen-SAA-run_01,2,1,248.3,238.314,248.307,-0.007,1,3
devs_gen-qwen-SAA-run_01,2,2,88.1,55.942,88.058,0.042,1,3
devs_gen-qwen-SAA-run_01,2,full_generation,358.86,316.716,,,1,3
devs_gen-qwen-SAA-run_01,4,1,248.3,231.0,248.307,-0.007,1,3
devs_gen-qwen-SAA-run_01,4,2,88.1,49.951,88.058,0.042,1,3
devs_gen-qwen-SAA-run_01,4,full_generation,358.86,303.411,,,1,3
devs_gen-qwen-SAA-run_01,8,1,248.3,231.0,248.307,-0.007,1,3
devs_gen-qwen-SAA-run_01,8,2,88.1,49.951,88.058,0.042,1,3
devs_gen-qwen-SAA-run_01,8,full_generation,358.86,303.411,,,1,3
devs_gen-qwen-StoreCashier-run_01,1,1,340.4,340.4,340.329,0.071,1,4
devs_gen-qwen-StoreCashier-run_01,1,2,139.6,139.6,139.512,0.088,1,4
devs_gen-qwen-StoreCashier-run_01,1,full_generation,508.13,508.13,,,1,4
devs_gen-qwen-StoreCashier-run_01,2,1,340.4,328.763,340.329,0.071,1,4
devs_gen-qwen-StoreCashier-run_01,2,2,139.6,79.189,139.512,0.088,1,4
devs_gen-qwen-StoreCashier-run_01,2,full_generation,508.13,436.082,,,1,4
devs_gen-qwen-StoreCashier-run_01,4,1,340.4,322.187,340.329,0.071,1,4
devs_gen-qwen-StoreCashier-run_01,4,2,139.6,61.059,139.512,0.088,1,4
devs_gen-qwen-StoreCashier-run_01,4,full_generation,508.13,411.376,,,1,4
devs_gen-qwen-StoreCashier-run_01,8,1,340.4,322.187,340.329,0.071,1,4
devs_gen-qwen-StoreCashier-run_01,8,2,139.6,61.059,139.512,0.088,1,4
devs_gen-qwen-StoreCashier-run_01,8,full_generation,508.13,411.376,,,1,4
devs_gen-llama-ABP-run_01,1,1,200.0,200.0,197.957,2.043,2,4
devs_gen-llama-ABP-run_01,1,2,86.1,86.1,86.038,0.062,2,4
