model,method,scheduled_tasks,generated_code_tasks,fully_operational_rate,score_ope_mean,score_ope_sd_across_run_means,score_beh_mean,score_beh_sd_across_run_means
gpt,single_simpy,30,30,0.9,0.9441300366300366,0.018732161206399707,0.8926121586052529,0.04475853180405119
gpt,single_xdevs,30,30,0.6,0.6504377104377105,0.04481142491612265,0.5939502373141343,0.0832268588098845
glm,single_simpy,30,27,0.5,0.5838703703703704,0.04466629813741467,0.5488964862031523,0.06372984906834069
glm,single_xdevs,30,29,0.06666666666666667,0.0837037037037037,0.07413978566822298,0.06543882275132275,0.06662743936036106
qwen,single_simpy,30,30,0.3333333333333333,0.3921296296296296,0.03334297700005711,0.31642218049168447,0.05149703784923308
qwen,single_xdevs,30,28,0,0.0033333333333333335,0.005773502691896258,0.0033333333333333335,0.005773502691896258
llama,single_simpy,30,30,0.06666666666666667,0.07037037037037037,0.06119522830317891,0.042540283211557894,0.05689454321031663
llama,single_xdevs,30,28,0,0.0,0.0,0.0,0.0
