task_id,method,model,scenario,run,generated_code,fully_operational,score_ope,score_beh,generation_time_sec,generation_tokens
devs_gen-gpt-OTrain-run_01,devs_gen,gpt,OTrain,run_01,generated/devs_gen/gpt/OTrain/run_01,1,1.0,0.981989147441845,191.603,144498
devs_gen-gpt-OTrain-run_02,devs_gen,gpt,OTrain,run_02,generated/devs_gen/gpt/OTrain/run_02,0,0.5384615384615384,0.5244467911724967,231.038,178330
devs_gen-gpt-OTrain-run_03,devs_gen,gpt,OTrain,run_03,generated/devs_gen/gpt/OTrain/run_03,1,1.0,0.9814095668085949,185.437,165406
devs_gen-gpt-SA-run_01,devs_gen,gpt,SA,run_01,generated/devs_gen/gpt/SA/run_01,1,1.0,0.8811582832191456,202.642,213546
devs_gen-gpt-SA-run_02,devs_gen,gpt,SA,run_02,generated/devs_gen/gpt/SA/run_02,1,1.0,0.9762207984096282,226.87,211406
devs_gen-gpt-SA-run_03,devs_gen,gpt,SA,run_03,generated/devs_gen/gpt/SA/run_03,1,1.0,0.7691087604632496,177.701,209057
devs_gen-gpt-SAA-run_01,devs_gen,gpt,SAA,run_01,generated/devs_gen/gpt/SAA/run_01,1,1.0,1.0,171.752,118070
devs_gen-gpt-SAA-run_02,devs_gen,gpt,SAA,run_02,generated/devs_gen/gpt/SAA/run_02,1,1.0,1.0,216.677,118163
devs_gen-gpt-SAA-run_03,devs_gen,gpt,SAA,run_03,generated/devs_gen/gpt/SAA/run_03,1,1.0,1.0,175.157,179893
devs_gen-gpt-SEIRD-run_01,devs_gen,gpt,SEIRD,run_01,generated/devs_gen/gpt/SEIRD/run_01,1,1.0,0.9998566401438607,109.06,61761
devs_gen-gpt-SEIRD-run_02,devs_gen,gpt,SEIRD,run_02,generated/devs_gen/gpt/SEIRD/run_02,1,1.0,0.9998566401438607,127.26,62089
devs_gen-gpt-SEIRD-run_03,devs_gen,gpt,SEIRD,run_03,generated/devs_gen/gpt/SEIRD/run_03,1,1.0,0.9998566401438607,95.22,63314
devs_gen-gpt-StoreCashier-run_01,devs_gen,gpt,StoreCashier,run_01,generated/devs_gen/gpt/StoreCashier/run_01,1,1.0,1.0,167.3,124121
devs_gen-gpt-StoreCashier-run_02,devs_gen,gpt,StoreCashier,run_02,generated/devs_gen/gpt/StoreCashier/run_02,1,1.0,0.995079421653994,181.51,121610
devs_gen-gpt-StoreCashier-run_03,devs_gen,gpt,StoreCashier,run_03,generated/devs_gen/gpt/StoreCashier/run_03,1,1.0,1.0,157.397,121014
devs_gen-gpt-barbershop-run_01,devs_gen,gpt,barbershop,run_01,generated/devs_gen/gpt/barbershop/run_01,1,1.0,0.6168718702303166,180.379,150505
devs_gen-gpt-barbershop-run_02,devs_gen,gpt,barbershop,run_02,generated/devs_gen/gpt/barbershop/run_02,1,1.0,0.9989711934156378,234.991,159109
devs_gen-gpt-barbershop-run_03,devs_gen,gpt,barbershop,run_03,generated/devs_gen/gpt/barbershop/run_03,1,1.0,0.9539094650205762,156.077,158856
devs_gen-gpt-oft-run_01,devs_gen,gpt,oft,run_01,generated/devs_gen/gpt/oft/run_01,1,1.0,0.6893939393939393,270.266,353534
devs_gen-gpt-oft-run_02,devs_gen,gpt,oft,run_02,generated/devs_gen/gpt/oft/run_02,1,1.0,0.7351100288600289,326.136,347494
devs_gen-gpt-oft-run_03,devs_gen,gpt,oft,run_03,generated/devs_gen/gpt/oft/run_03,1,1.0,0.5875187590187589,220.371,360437
devs_gen-llama-ABP-run_01,devs_gen,llama,ABP,run_01,generated/devs_gen/llama/ABP/run_01,0,0.0,0.0,285.499,114585
devs_gen-llama-ABP-run_02,devs_gen,llama,ABP,run_02,generated/devs_gen/llama/ABP/run_02,1,1.0,0.5109446072572269,817.512,202285
devs_gen-llama-ABP-run_03,devs_gen,llama,ABP,run_03,generated/devs_gen/llama/ABP/run_03,0,0.0,0.0,125.146,122883
devs_gen-llama-HouseHeating-run_01,devs_gen,llama,HouseHeating,run_01,generated/devs_gen/llama/HouseHeating/run_01,1,1.0,0.8819118771968797,149.61,58885
devs_gen-llama-HouseHeating-run_02,devs_gen,llama,HouseHeating,run_02,generated/devs_gen/llama/HouseHeating/run_02,1,1.0,0.9625052040802693,230.872,60946
devs_gen-llama-HouseHeating-run_03,devs_gen,llama,HouseHeating,run_03,generated/devs_gen/llama/HouseHeating/run_03,1,1.0,0.9625052040802693,143.758,59350
devs_gen-llama-IOBS-run_01,devs_gen,llama,IOBS,run_01,generated/devs_gen/llama/IOBS/run_01,1,1.0,0.5312202380952381,243.018,182274
