task_id,method,model,scenario,run,generated_code,fully_operational,score_ope,score_beh,generation_time_sec,generation_tokens
single_simpy-qwen-IOBS-run_01,single_simpy,qwen,IOBS,run_01,generated/single_simpy/qwen/IOBS/run_01,0,0.0,0.0,117.0,0
single_simpy-qwen-IOBS-run_02,single_simpy,qwen,IOBS,run_02,generated/single_simpy/qwen/IOBS/run_02,0,0.0,0.0,63.08,0
single_simpy-qwen-IOBS-run_03,single_simpy,qwen,IOBS,run_03,generated/single_simpy/qwen/IOBS/run_03,0,0.0,0.0,53.95,0
single_simpy-qwen-OTrain-run_01,single_simpy,qwen,OTrain,run_01,generated/single_simpy/qwen/OTrain/run_01,0,0.0,0.0,46.45,0
single_simpy-qwen-OTrain-run_02,single_simpy,qwen,OTrain,run_02,generated/single_simpy/qwen/OTrain/run_02,0,0.0,0.0,29.5,0
single_simpy-qwen-OTrain-run_03,single_simpy,qwen,OTrain,run_03,generated/single_simpy/qwen/OTrain/run_03,0,0.0,0.0,36.82,0
single_simpy-qwen-SA-run_01,single_simpy,qwen,SA,run_01,generated/single_simpy/qwen/SA/run_01,0,0.3333333333333333,0.1719704986371653,75.98,0
single_simpy-qwen-SA-run_02,single_simpy,qwen,SA,run_02,generated/single_simpy/qwen/SA/run_02,0,0.0,0.0,51.95,0
single_simpy-qwen-SA-run_03,single_simpy,qwen,SA,run_03,generated/single_simpy/qwen/SA/run_03,0,0.5555555555555556,0.29302485079392804,93.07,0
single_simpy-qwen-SAA-run_01,single_simpy,qwen,SAA,run_01,generated/single_simpy/qwen/SAA/run_01,1,1.0,1.0,28.84,3098
single_simpy-qwen-SAA-run_02,single_simpy,qwen,SAA,run_02,generated/single_simpy/qwen/SAA/run_02,1,1.0,0.7419791666666666,40.46,2887
single_simpy-qwen-SAA-run_03,single_simpy,qwen,SAA,run_03,generated/single_simpy/qwen/SAA/run_03,1,1.0,0.645173611111111,37.33,3199
single_simpy-qwen-SEIRD-run_01,single_simpy,qwen,SEIRD,run_01,generated/single_simpy/qwen/SEIRD/run_01,0,0.875,0.7872250693695659,21.82,0
single_simpy-qwen-SEIRD-run_02,single_simpy,qwen,SEIRD,run_02,generated/single_simpy/qwen/SEIRD/run_02,0,0.0,0.0,14.21,0
single_simpy-qwen-SEIRD-run_03,single_simpy,qwen,SEIRD,run_03,generated/single_simpy/qwen/SEIRD/run_03,1,1.0,0.8997250693695659,17.49,0
single_simpy-qwen-StoreCashier-run_01,single_simpy,qwen,StoreCashier,run_01,generated/single_simpy/qwen/StoreCashier/run_01,1,1.0,0.8307687621832358,32.86,3820
single_simpy-qwen-StoreCashier-run_02,single_simpy,qwen,StoreCashier,run_02,generated/single_simpy/qwen/StoreCashier/run_02,1,1.0,0.9313082211100082,47.22,4137
single_simpy-qwen-StoreCashier-run_03,single_simpy,qwen,StoreCashier,run_03,generated/single_simpy/qwen/StoreCashier/run_03,0,0.0,0.0,56.62,3382
single_simpy-qwen-barbershop-run_01,single_simpy,qwen,barbershop,run_01,generated/single_simpy/qwen/barbershop/run_01,0,0.0,0.0,86.18,0
single_simpy-qwen-barbershop-run_02,single_simpy,qwen,barbershop,run_02,generated/single_simpy/qwen/barbershop/run_02,0,0.0,0.0,27.22,0
single_simpy-qwen-barbershop-run_03,single_simpy,qwen,barbershop,run_03,generated/single_simpy/qwen/barbershop/run_03,0,0.0,0.0,30.69,0
single_simpy-qwen-oft-run_01,single_simpy,qwen,oft,run_01,generated/single_simpy/qwen/oft/run_01,0,0.0,0.0,24.92,0
single_simpy-qwen-oft-run_02,single_simpy,qwen,oft,run_02,generated/single_simpy/qwen/oft/run_02,0,0.0,0.0,28.8,0
single_simpy-qwen-oft-run_03,single_simpy,qwen,oft,run_03,generated/single_simpy/qwen/oft/run_03,0,0.0,0.0,74.16,0
single_simpy-gpt-ABP-run_01,single_simpy,gpt,ABP,run_01,generated/single_simpy/gpt/ABP/run_01,1,1.0,1.0,55.5,0
single_simpy-gpt-ABP-run_02,single_simpy,gpt,ABP,run_02,generated/single_simpy/gpt/ABP/run_02,1,1.0,1.0,55.5,0
single_simpy-gpt-ABP-run_03,single_simpy,gpt,ABP,run_03,generated/single_simpy/gpt/ABP/run_03,1,1.0,0.8253731650019347,99.52,0
single_simpy-gpt-HouseHeating-run_01,single_simpy,gpt,HouseHeating,run_01,generated/single_simpy/gpt/HouseHeating/run_01,1,1.0,1.0,25.03,2261
single_simpy-gpt-HouseHeating-run_02,single_simpy,gpt,HouseHeating,run_02,generated/single_simpy/gpt/HouseHeating/run_02,1,1.0,1.0,28.84,2331
single_simpy-gpt-HouseHeating-run_03,single_simpy,gpt,HouseHeating,run_03,generated/single_simpy/gpt/HouseHeating/run_03,1,1.0,1.0,27.54,2470
single_simpy-gpt-IOBS-run_01,single_simpy,gpt,IOBS,run_01,generated/single_simpy/gpt/IOBS/run_01,1,1.0,0.9133162502437548,83.88,0
single_simpy-gpt-IOBS-run_02,single_simpy,gpt,IOBS,run_02,generated/single_simpy/gpt/IOBS/run_02,1,1.0,0.8983074319231452,97.23,0
single_simpy-gpt-IOBS-run_03,single_simpy,gpt,IOBS,run_03,generated/single_simpy/gpt/IOBS/run_03,0,0.225,0.15,115.37,0
single_simpy-gpt-OTrain-run_01,single_simpy,gpt,OTrain,run_01,generated/single_simpy/gpt/OTrain/run_01,0,0.5494505494505495,0.5419688259578768,89.04,0
single_simpy-gpt-OTrain-run_02,single_simpy,gpt,OTrain,run_02,generated/single_simpy/gpt/OTrain/run_02,0,0.5494505494505495,0.5417233987431472,89.04,0
single_simpy-gpt-OTrain-run_03,single_simpy,gpt,OTrain,run_03,generated/single_simpy/gpt/OTrain/run_03,1,1.0,0.9336235094294435,85.82,0
single_simpy-gpt-SA-run_01,single_simpy,gpt,SA,run_01,generated/single_simpy/gpt/SA/run_01,1,1.0,1.0,82.07,0
single_simpy-gpt-SA-run_02,single_simpy,gpt,SA,run_02,generated/single_simpy/gpt/SA/run_02,1,1.0,1.0,82.07,0
single_simpy-gpt-SA-run_03,single_simpy,gpt,SA,run_03,generated/single_simpy/gpt/SA/run_03,1,1.0,1.0,68.94,0
single_simpy-gpt-SAA-run_01,single_simpy,gpt,SAA,run_01,generated/single_simpy/gpt/SAA/run_01,1,1.0,1.0,41.05,3243
single_simpy-gpt-SAA-run_02,single_simpy,gpt,SAA,run_02,generated/single_simpy/gpt/SAA/run_02,1,1.0,1.0,36.96,3572
single_simpy-gpt-SAA-run_03,single_simpy,gpt,SAA,run_03,generated/single_simpy/gpt/SAA/run_03,1,1.0,1.0,37.39,3373
single_simpy-gpt-SEIRD-run_01,single_simpy,gpt,SEIRD,run_01,generated/single_simpy/gpt/SEIRD/run_01,1,1.0,0.9998566401438607,41.32,0
single_simpy-gpt-SEIRD-run_02,single_simpy,gpt,SEIRD,run_02,generated/single_simpy/gpt/SEIRD/run_02,1,1.0,0.9998566401438607,41.32,0
single_simpy-gpt-SEIRD-run_03,single_simpy,gpt,SEIRD,run_03,generated/single_simpy/gpt/SEIRD/run_03,1,1.0,0.9998566401438607,53.57,0
single_simpy-gpt-StoreCashier-run_01,single_simpy,gpt,StoreCashier,run_01,generated/single_simpy/gpt/StoreCashier/run_01,1,1.0,0.9813161375661377,45.86,3860
single_simpy-gpt-StoreCashier-run_02,single_simpy,gpt,StoreCashier,run_02,generated/single_simpy/gpt/StoreCashier/run_02,1,1.0,1.0,41.41,4184
single_simpy-gpt-StoreCashier-run_03,single_simpy,gpt,StoreCashier,run_03,generated/single_simpy/gpt/StoreCashier/run_03,1,1.0,0.9813161375661377,43.26,4045
single_simpy-gpt-barbershop-run_01,single_simpy,gpt,barbershop,run_01,generated/single_simpy/gpt/barbershop/run_01,1,1.0,0.1111111111111111,125.48,0
single_simpy-gpt-barbershop-run_02,single_simpy,gpt,barbershop,run_02,generated/single_simpy/gpt/barbershop/run_02,1,1.0,0.9989711934156378,89.69,0
single_simpy-gpt-barbershop-run_03,single_simpy,gpt,barbershop,run_03,generated/single_simpy/gpt/barbershop/run_03,1,1.0,1.0,92.68,0
single_simpy-gpt-oft-run_01,single_simpy,gpt,oft,run_01,generated/single_simpy/gpt/oft/run_01,1,1.0,0.9569444444444444,176.61,0
single_simpy-gpt-oft-run_02,single_simpy,gpt,oft,run_02,generated/single_simpy/gpt/oft/run_02,1,1.0,0.9569444444444444,109.68,0
single_simpy-gpt-oft-run_03,single_simpy,gpt,oft,run_03,generated/single_simpy/gpt/oft/run_03,1,1.0,0.9878787878787879,80.47,0
single_simpy-llama-ABP-run_01,single_simpy,llama,ABP,run_01,generated/single_simpy/llama/ABP/run_01,0,0.0,0.0,24.26,0
